ds	cus	yes	veh	drv	model     	tlim	Sec	Obj	Var
CC	30	6	3	2	DARP_Driver_ThreeStage_P2.mod	30	30.004	604476	342	0
CC	35	7	3	2	DARP_Driver_ThreeStage_P2.mod	5	5.013	613280	393	0
CC	35	7	3	2	DARP_Driver_ThreeStage_P2.mod	10	10.013	613280	393	0
CC	35	7	3	2	DARP_Driver_ThreeStage_P2.mod	30	30.005	613280	393	0
CC	40	8	3	2	DARP_Driver_ThreeStage_P2.mod	5	5.008	762980	452	0.015
CC	40	8	3	2	DARP_Driver_ThreeStage_P2.mod	10	10.009	648574	452	0.015
CC	40	8	3	2	DARP_Driver_ThreeStage_P2.mod	30	30.016	617423	452	0.015
CC	45	9	3	2	DARP_Driver_ThreeStage_P2.mod	5	5.027	657861	511	0.015
CC	45	9	3	2	DARP_Driver_ThreeStage_P2.mod	10	10.013	640544	511	0.015
CC	45	9	3	2	DARP_Driver_ThreeStage_P2.mod	30	30.012	630321	511	0.015
CC	50	10	4	2	DARP_Driver_ThreeStage_P2.mod	5	5.004	609548	730	0.047
CC	50	10	4	2	DARP_Driver_ThreeStage_P2.mod	10	10.029	609548	730	0.047
CC	50	10	4	2	DARP_Driver_ThreeStage_P2.mod	30	30.021	609548	730	0.047
CC	55	11	4	2	DARP_Driver_ThreeStage_P2.mod	5	5.026	632546	805	0.016
CC	55	11	4	2	DARP_Driver_ThreeStage_P2.mod	10	10.014	626359	805	0.016
CC	55	11	4	2	DARP_Driver_ThreeStage_P2.mod	30	30.028	617423	805	0.016
CC	60	12	4	2	DARP_Driver_ThreeStage_P2.mod	5	5.03	721380	875	0
CC	60	12	4	2	DARP_Driver_ThreeStage_P2.mod	10	10.013	678656	875	0
CC	60	12	4	2	DARP_Driver_ThreeStage_P2.mod	30	30.021	620092	875	0
CC	65	13	4	2	DARP_Driver_ThreeStage_P2.mod	5	5.036	712275	950	0
CC	65	13	4	2	DARP_Driver_ThreeStage_P2.mod	10	10.013	668301	950	0
CC	65	13	4	2	DARP_Driver_ThreeStage_P2.mod	30	30.029	659825	950	0
CC	70	14	5	2	DARP_Driver_ThreeStage_P2.mod	5	5.005	2150814	1250	0
CC	70	14	5	2	DARP_Driver_ThreeStage_P2.mod	10	10.048	938190	1250	0
CC	70	14	5	2	DARP_Driver_ThreeStage_P2.mod	30	30.038	627685	1250	0
CC	75	15	5	3	DARP_Driver_ThreeStage_P2.mod	5	5.018	954188	1404	0
CC	75	15	5	3	DARP_Driver_ThreeStage_P2.mod	10	10.018	954188	1404	0
CC	75	15	5	3	DARP_Driver_ThreeStage_P2.mod	30	30.013	648065	1404	0
DD	5	1	1	1	DARP_Driver_ThreeStage_P2.mod	5	0.017	624036	28	0
DD	5	1	1	1	DARP_Driver_ThreeStage_P2.mod	10	0.016	624036	28	0
DD	5	1	1	1	DARP_Driver_ThreeStage_P2.mod	30	0.016	624036	28	0
DD	10	2	1	1	DARP_Driver_ThreeStage_P2.mod	5	0.016	624036	52	0
DD	10	2	1	1	DARP_Driver_ThreeStage_P2.mod	10	0.017	624036	52	0
DD	10	2	1	1	DARP_Driver_ThreeStage_P2.mod	30	0.016	624036	52	0
DD	15	3	2	1	DARP_Driver_ThreeStage_P2.mod	5	0.066	624036	129	0
DD	15	3	2	1	DARP_Driver_ThreeStage_P2.mod	10	0.074	624036	129	0
DD	15	3	2	1	DARP_Driver_ThreeStage_P2.mod	30	0.074	624036	129	0
DD	20	4	2	1	DARP_Driver_ThreeStage_P2.mod	5	0.263	624036	170	0.016
DD	20	4	2	1	DARP_Driver_ThreeStage_P2.mod	10	0.247	624036	170	0.016
DD	20	4	2	1	DARP_Driver_ThreeStage_P2.mod	30	0.263	624036	170	0.016
DD	25	5	2	1	DARP_Driver_ThreeStage_P2.mod	5	0.761	624036	232	0.015
DD	25	5	2	1	DARP_Driver_ThreeStage_P2.mod	10	0.741	624036	232	0.015
DD	25	5	2	1	DARP_Driver_ThreeStage_P2.mod	30	0.752	624036	232	0.015
DD	30	6	3	2	DARP_Driver_ThreeStage_P2.mod	5	1.92	624036	370	0
DD	30	6	3	2	DARP_Driver_ThreeStage_P2.mod	10	1.931	624036	370	0
DD	30	6	3	2	DARP_Driver_ThreeStage_P2.mod	30	1.865	624036	370	0
DD	35	7	3	2	DARP_Driver_ThreeStage_P2.mod	5	5.015	625597	429	0.016
DD	35	7	3	2	DARP_Driver_ThreeStage_P2.mod	10	5.753	624036	429	0.016
DD	35	7	3	2	DARP_Driver_ThreeStage_P2.mod	30	5.788	624036	429	0.016
DD	40	8	3	2	DARP_Driver_ThreeStage_P2.mod	5	5.023	638362	492	0
DD	40	8	3	2	DARP_Driver_ThreeStage_P2.mod	10	10.008	638362	492	0
DD	40	8	3	2	DARP_Driver_ThreeStage_P2.mod	30	30.022	638362	492	0
DD	45	9	3	2	DARP_Driver_ThreeStage_P2.mod	5	5.011	669528	547	0
DD	45	9	3	2	DARP_Driver_ThreeStage_P2.mod	10	10.019	658522	547	0
DD	45	9	3	2	DARP_Driver_ThreeStage_P2.mod	30	30.02	655948	547	0
DD	50	10	3	2	DARP_Driver_ThreeStage_P2.mod	5	5.017	712522	606	0.015
DD	50	10	3	2	DARP_Driver_ThreeStage_P2.mod	10	10.008	705505	606	0.015
DD	50	10	3	2	DARP_Driver_ThreeStage_P2.mod	30	30.025	702170	606	0.015
DD	55	11	3	2	DARP_Driver_ThreeStage_P2.mod	5	5.017	907094	669	0.016
DD	55	11	3	2	DARP_Driver_ThreeStage_P2.mod	10	10.002	768039	669	0.016
DD	55	11	3	2	DARP_Driver_ThreeStage_P2.mod	30	30.006	706376	669	0.016
DD	60	12	3	2	DARP_Driver_ThreeStage_P2.mod	5	5.018	755725	728	0.016
DD	60	12	3	2	DARP_Driver_ThreeStage_P2.mod	10	10.034	754385	728	0.016
DD	60	12	3	2	DARP_Driver_ThreeStage_P2.mod	30	30.027	745479	728	0.016
DD	65	13	4	2	DARP_Driver_ThreeStage_P2.mod	5	5.02	855499	970	0.015
DD	65	13	4	2	DARP_Driver_ThreeStage_P2.mod	10	10.015	741052	970	0.015
DD	65	13	4	2	DARP_Driver_ThreeStage_P2.mod	30	30.026	681525	970	0.015
DD	70	14	4	2	DARP_Driver_ThreeStage_P2.mod	5	5.007	806599	1045	0.015
DD	70	14	4	2	DARP_Driver_ThreeStage_P2.mod	10	10.025	745139	1045	0.015
DD	70	14	4	2	DARP_Driver_ThreeStage_P2.mod	30	30.03	696695	1045	0.015
DD	75	15	4	3	DARP_Driver_ThreeStage_P2.mod	5	5.033	858451	1180	0.031
DD	75	15	4	3	DARP_Driver_ThreeStage_P2.mod	10	10.016	764431	1180	0.031
DD	75	15	4	3	DARP_Driver_ThreeStage_P2.mod	30	30.013	708692	1180	0.031
