ds	cus	yes	veh	drv	model     	tlim	Sec	Obj	Var
DD	5	1	1	1	DARP_Driver2	5	0.015	624036	28
DD	5	1	1	1	DARP_Driver1	10	0.016	624036	32
DD	5	1	1	1	DARP_Driver2	10	0.015	624036	28
DD	5	1	1	1	DARP_Driver1	30	0.016	624036	32
DD	5	1	1	1	DARP_Driver2	30	0.015	624036	28
DD	10	2	1	1	DARP_Driver1	5	0.022	624036	60
DD	10	2	1	1	DARP_Driver2	5	0.019	624036	52
DD	10	2	1	1	DARP_Driver1	10	0.021	624036	60
DD	10	2	1	1	DARP_Driver2	10	0.018	624036	52
DD	10	2	1	1	DARP_Driver1	30	0.021	624036	60
DD	10	2	1	1	DARP_Driver2	30	0.018	624036	52
DD	15	3	2	1	DARP_Driver1	5	0.372	624036	144
DD	15	3	2	1	DARP_Driver2	5	0.059	624036	129
DD	15	3	2	1	DARP_Driver1	10	0.368	624036	144
DD	15	3	2	1	DARP_Driver2	10	0.06	624036	129
DD	15	3	2	1	DARP_Driver1	30	0.355	624036	144
DD	15	3	2	1	DARP_Driver2	30	0.06	624036	129
DD	20	4	2	1	DARP_Driver1	5	5.003	nfs	188
DD	20	4	2	1	DARP_Driver2	5	0.548	624036	170
DD	20	4	2	1	DARP_Driver1	10	10.016	nfs	188
DD	20	4	2	1	DARP_Driver2	10	0.526	624036	170
DD	20	4	2	1	DARP_Driver1	30	30.007	nfs	188
DD	20	4	2	1	DARP_Driver2	30	0.521	624036	170
DD	25	5	2	1	DARP_Driver1	5	0.584	624036	232
DD	25	5	2	1	DARP_Driver2	5	0.566	624036	232
DD	25	5	2	1	DARP_Driver1	10	0.566	624036	232
DD	25	5	2	1	DARP_Driver2	10	0.559	624036	232
DD	25	5	2	1	DARP_Driver1	30	0.546	624036	232
DD	25	5	2	1	DARP_Driver2	30	0.556	624036	232
DD	30	6	3	2	DARP_Driver1	5	1.736	624036	402
DD	30	6	3	2	DARP_Driver2	5	1.289	624036	370
DD	30	6	3	2	DARP_Driver1	10	1.745	624036	402
DD	30	6	3	2	DARP_Driver2	10	1.309	624036	370
DD	30	6	3	2	DARP_Driver1	30	1.782	624036	402
DD	30	6	3	2	DARP_Driver2	30	1.265	624036	370
DD	35	7	3	2	DARP_Driver1	5	2.294	624036	465
DD	35	7	3	2	DARP_Driver2	5	5.013	643083	429
DD	35	7	3	2	DARP_Driver1	10	2.375	624036	465
DD	35	7	3	2	DARP_Driver2	10	5.9	624036	429
DD	35	7	3	2	DARP_Driver1	30	2.306	624036	465
DD	35	7	3	2	DARP_Driver2	30	5.672	624036	429
DD	40	8	3	2	DARP_Driver1	5	5.006	636012	528
DD	40	8	3	2	DARP_Driver2	5	5.009	647849	492
DD	40	8	3	2	DARP_Driver1	10	10.043	636012	528
DD	40	8	3	2	DARP_Driver2	10	10.009	634500	492
DD	40	8	3	2	DARP_Driver1	30	11.36	624036	528
DD	40	8	3	2	DARP_Driver2	30	22.674	624036	492
DD	45	9	3	2	DARP_Driver1	5	5.022	671071	591
DD	45	9	3	2	DARP_Driver2	5	5.047	685519	547
DD	45	9	3	2	DARP_Driver1	10	10.007	671071	591
DD	45	9	3	2	DARP_Driver2	10	10.036	685519	547
DD	45	9	3	2	DARP_Driver1	30	30.012	645865	591
DD	45	9	3	2	DARP_Driver2	30	30.005	665400	547
DD	50	10	3	2	DARP_Driver1	5	5.015	715621	654
DD	50	10	3	2	DARP_Driver2	5	5.019	727895	606
DD	50	10	3	2	DARP_Driver1	10	10.023	687672	654
DD	50	10	3	2	DARP_Driver2	10	10.016	708285	606
DD	50	10	3	2	DARP_Driver1	30	30.062	687672	654
DD	50	10	3	2	DARP_Driver2	30	30.014	706293	606
DD	55	11	3	2	DARP_Driver1	5	5.052	763550	717
DD	55	11	3	2	DARP_Driver2	5	5.058	737068	669
DD	55	11	3	2	DARP_Driver1	10	10.021	727967	717
DD	55	11	3	2	DARP_Driver2	10	10.004	723730	669
DD	55	11	3	2	DARP_Driver1	30	30.018	718774	717
DD	55	11	3	2	DARP_Driver2	30	30.031	687784	669
DD	60	12	3	2	DARP_Driver1	5	5.024	813026	780
DD	60	12	3	2	DARP_Driver2	5	5.019	1697820	728
DD	60	12	3	2	DARP_Driver1	10	10.067	785257	780
DD	60	12	3	2	DARP_Driver2	10	10.043	755369	728
DD	60	12	3	2	DARP_Driver1	30	30.043	775048	780
DD	60	12	3	2	DARP_Driver2	30	30.016	745909	728
DD	65	13	4	2	DARP_Driver1	5	5.064	2339551	1080
DD	65	13	4	2	DARP_Driver2	5	5.042	2310321	970
DD	65	13	4	2	DARP_Driver1	10	10.035	2331616	1080
DD	65	13	4	2	DARP_Driver2	10	10.038	2306698	970
DD	65	13	4	2	DARP_Driver1	30	30.097	687619	1080
DD	65	13	4	2	DARP_Driver2	30	30.036	2299640	970
DD	70	14	4	2	DARP_Driver1	5	5.052	2419392	1160
DD	70	14	4	2	DARP_Driver2	5	5.015	2416912	1045
DD	70	14	4	2	DARP_Driver1	10	10.036	2419392	1160
DD	70	14	4	2	DARP_Driver2	10	10.058	2416912	1045
DD	70	14	4	2	DARP_Driver1	30	30.06	718280	1160
DD	70	14	4	2	DARP_Driver2	30	30.034	696211	1045
DD	75	15	4	3	DARP_Driver1	5	5.064	2557080	1300
DD	75	15	4	3	DARP_Driver2	5	5.068	2047173	1180
DD	75	15	4	3	DARP_Driver1	10	10.032	783535	1300
DD	75	15	4	3	DARP_Driver2	10	10.091	778380	1180
DD	75	15	4	3	DARP_Driver1	30	30.086	734439	1300
DD	75	15	4	3	DARP_Driver2	30	30.005	709443	1180
